Lokasi Rak,Kode Material,Nama Barang,Qty,UoM,Deskripsi,Link Drive Foto,Link Drive Foto,Link Drive Foto Gabungan
RE02.1,,"Relay Timer , ABB CT-SDD.22 E234",3,Pcs,,https://drive.google.com/file/d/1umBYtwRU5s_iHaYsWQCmgAP8NEXHvL9U/view?usp=drivesdk,,
RE02.1,,"Relay morssmitt, TDB4-V204N Lg 0-60s ",1,Pcs,,https://drive.google.com/file/d/1boyO8IcIjcdLqxuToTg2XSR-gSWJupfH/view?usp=drivesdk,,
RE02.1,,Relay TDEUN-UN 72-230VAC/DC,1,Pcs,,https://drive.google.com/file/d/1Sy_2k3GAc2sNmY-MldMp4eYsT-7e3FpG/view?usp=drivesdk,,
RE02.1,,Elektronik pin berlapis emas ,124,Pcs,,https://drive.google.com/file/d/1IDHJxDk5yy0ns6xY0JxxssdkrDe2yOiK/view?usp=drivesdk,,
RE02.1,-,"Han quintax, female",1,Pcs,,https://drive.google.com/file/d/1B_hpXvutzeHelgf7LuiUkdwDH-zpBFWq/view?usp=drivesdk,,
RE02.1,-,PSUWEIDMULLER PRO ECO 240W 24V,1,Pcs,,https://drive.google.com/file/d/1pa2hLODHOpiirnQum4vMT9PALVCwFruj/view?usp=drivesdk,,
RE02.1,-,TE Connectivity/Amp Dynamic D-300,11,Pcs,,https://drive.google.com/file/d/1cKfCLld6jlOpSCtgO_Z2ejKDADujyfKr/view?usp=drivesdk,,
RE02.1,-,D-3100 Perumahan 20 Pin 178289-8/T9CO Connector,3,Pcs,,https://drive.google.com/file/d/1Kqa2TP9r8qEbIC1cxlFp14ZZi-TMlVH_/view?usp=drivesdk,,
RE02.1,,"Morssmitt, CU-U204 BLg",1,Pcs,,https://drive.google.com/file/d/1s-whWOhj5R4ybGIsAM9uVlVHCv4vNecb/view?usp=drivesdk,,
RE02.1,,MS059 P-L22,1,Pcs,,https://drive.google.com/file/d/1bk6uDWoaRQp3Rd6MR0s7mh8ayMrCX5dF/view?usp=drivesdk,,
